safe_head,max_acc,stability_numerical,stability_analytical
0.1,0.1,sna,sna
0.533333333,0.1,sna,sna
0.966666667,0.1,sna,sna
1.4,0.1,snau,sna
1.833333333,0.1,snau,sna
2.266666667,0.1,snau,snau
2.7,0.1,snau,snau
3.133333333,0.1,snau,snau
3.566666667,0.1,snaus,snaus
4,0.1,snaus,snaus
0.1,0.533333333,sna,sa
0.533333333,0.533333333,snau,sa
0.966666667,0.533333333,snau,sau
1.4,0.533333333,snau,sau
1.833333333,0.533333333,snaus,sas
2.266666667,0.533333333,snaus,s
2.7,0.533333333,snaus,s
3.133333333,0.533333333,snaus,s
3.566666667,0.533333333,snus,s
4,0.533333333,sdns,s
0.1,0.966666667,sna,sua
0.533333333,0.966666667,snu ,su
0.966666667,0.966666667,snu,s
1.4,0.966666667,sns,s
1.833333333,0.966666667,sns,s
2.266666667,0.966666667,s,s
2.7,0.966666667,s,s
3.133333333,0.966666667,s,s
3.566666667,0.966666667,s,s
4,0.966666667,s,s
0.1,1.4,snaua,sua
0.533333333,1.4,snu,su
0.966666667,1.4,s,s
1.4,1.4,s,s
1.833333333,1.4,s,s
2.266666667,1.4,s,s
2.7,1.4,s,s
3.133333333,1.4,s,s
3.566666667,1.4,s,s
4,1.4,s,s
0.1,1.833333333,snaua,sua
0.533333333,1.833333333,snu,su
0.966666667,1.833333333,s,s
1.4,1.833333333,s,s
1.833333333,1.833333333,s,s
2.266666667,1.833333333,s,s
2.7,1.833333333,s,s
3.133333333,1.833333333,s,s
3.566666667,1.833333333,s,s
4,1.833333333,s,s
0.1,2.266666667,snaua,sua
0.533333333,2.266666667,snu,su
0.966666667,2.266666667,s,s
1.4,2.266666667,s,s
1.833333333,2.266666667,s,s
2.266666667,2.266666667,s,s
2.7,2.266666667,s,s
3.133333333,2.266666667,s,s
3.566666667,2.266666667,s,s
4,2.266666667,s,s
0.1,2.7,snaua,sua
0.533333333,2.7,snu,su
0.966666667,2.7,s,s
1.4,2.7,s,s
1.833333333,2.7,s,s
2.266666667,2.7,s,s
2.7,2.7,s,s
3.133333333,2.7,s,s
3.566666667,2.7,s,s
4,2.7,s,s
0.1,3.133333333,snaua,sua
0.533333333,3.133333333,snu,su
0.966666667,3.133333333,s,s
1.4,3.133333333,s,s
1.833333333,3.133333333,s,s
2.266666667,3.133333333,s,s
2.7,3.133333333,s,s
3.133333333,3.133333333,s,s
3.566666667,3.133333333,s,s
4,3.133333333,s,s
0.1,3.566666667,snaua,sua
0.533333333,3.566666667,s,s
0.966666667,3.566666667,s,s
1.4,3.566666667,s,s
1.833333333,3.566666667,s,s
2.266666667,3.566666667,s,s
2.7,3.566666667,s,s
3.133333333,3.566666667,s,s
3.566666667,3.566666667,s,s
4,3.566666667,s,s
0.1,4,snua,sua
0.533333333,4,s,s
0.966666667,4,s,s
1.4,4,s,s
1.833333333,4,s,s
2.266666667,4,s,s
2.7,4,s,s
3.133333333,4,s,s
3.566666667,4,s,s
4,4,s,s
